trade_date,phi
2022-08-12,0.8403
2022-08-15,0.8905
2022-08-16,0.8668
2022-08-17,0.884
2022-08-18,0.8928
2022-08-19,0.8794
2022-08-22,0.864
2022-08-23,0.8545
2022-08-24,0.8507
2022-08-25,0.8186
2022-08-26,0.8297
2022-08-29,0.8598
2022-08-30,0.8687
2022-08-31,0.8561
2022-09-01,0.8552
2022-09-02,0.8501
2022-09-05,0.8549
2022-09-06,0.8685
2022-09-07,0.8545
2022-09-08,0.8423
2022-09-09,0.818
2022-09-13,0.8103
2022-09-14,0.7805
2022-09-15,0.7781
2022-09-16,0.7768
2022-09-19,0.7819
2022-09-20,0.7856
2022-09-21,0.7924
2022-09-22,0.7775
2022-09-23,0.7379
2022-09-26,0.7045
2022-09-27,0.7173
2022-09-28,0.684
2022-09-29,0.6706
2022-09-30,0.6596
2022-10-08,0.6521
2022-10-09,0.6695
2022-10-10,0.6745
2022-10-11,0.667
2022-10-12,0.6602
2022-10-13,0.6495
2022-10-14,0.6607
2022-10-17,0.647
2022-10-18,0.6456
2022-10-19,0.6264
2022-10-20,0.6093
2022-10-21,0.599
2022-10-24,0.6149
2022-10-25,0.6053
2022-10-26,0.6296
2022-10-27,0.6265
2022-10-28,0.6571
2022-10-31,0.6742
2022-11-01,0.6547
2022-11-02,0.6434
2022-11-03,0.6478
2022-11-04,0.6233
2022-11-07,0.6214
2022-11-08,0.6429
2022-11-09,0.634
2022-11-10,0.6367
2022-11-11,0.6271
2022-11-14,0.6271
2022-11-15,0.6619
2022-11-16,0.6762
2022-11-17,0.7038
2022-11-18,0.6814
2022-11-21,0.6884
2022-11-22,0.684
2022-11-23,0.7114
2022-11-24,0.7139
2022-11-25,0.6842
2022-11-28,0.6647
2022-11-29,0.6649
2022-11-30,0.6691
2022-12-01,0.6853
2022-12-02,0.6824
2022-12-05,0.6643
2022-12-06,0.667
2022-12-07,0.752
2022-12-08,0.7489
2022-12-09,0.7495
2022-12-12,0.7879
2022-12-13,0.8129
2022-12-14,0.8526
2022-12-15,0.8375
2022-12-16,0.8348
2022-12-19,0.8506
2022-12-20,0.8411
2022-12-21,0.8545
2022-12-22,0.8603
2022-12-23,0.8855
2022-12-26,0.8712
2022-12-27,0.8424
2022-12-28,0.8578
2022-12-29,0.8591
2022-12-30,0.8643
2022-12-31,0.8643
2023-01-03,0.8653
2023-01-04,0.8559
2023-01-05,0.8157
2023-01-06,0.8183
2023-01-09,0.8091
2023-01-10,0.789
2023-01-11,0.7939
2023-01-12,0.7764
2023-01-13,0.7646
2023-01-16,0.7624
2023-01-17,0.7874
2023-01-18,0.7776
2023-01-19,0.7907
2023-01-20,0.7766
2023-01-28,0.7756
2023-01-29,0.7866
2023-01-30,0.7916
2023-01-31,0.8075
2023-02-01,0.7885
2023-02-02,0.8052
2023-02-03,0.7987
2023-02-06,0.7797
2023-02-07,0.7771
2023-02-08,0.7734
2023-02-09,0.7701
2023-02-10,0.7611
2023-02-13,0.7503
2023-02-14,0.7492
2023-02-15,0.7394
2023-02-16,0.7373
2023-02-17,0.7309
2023-02-20,0.7115
2023-02-21,0.7211
2023-02-22,0.7117
2023-02-23,0.6973
2023-02-24,0.7109
2023-02-27,0.7218
2023-02-28,0.724
2023-03-01,0.7133
2023-03-02,0.7024
2023-03-03,0.7109
2023-03-06,0.726
2023-03-07,0.7365
2023-03-08,0.7267
2023-03-09,0.7243
2023-03-10,0.7268
2023-03-13,0.7214
2023-03-14,0.7257
2023-03-15,0.7212
2023-03-16,0.7145
2023-03-17,0.6903
2023-03-20,0.6996
2023-03-21,0.6868
2023-03-22,0.6867
2023-03-23,0.6856
2023-03-24,0.6883
2023-03-27,0.7058
2023-03-28,0.7107
2023-03-29,0.6978
2023-03-30,0.6816
